iter	Passed	Remaining
414	3365	77733
415	3374	77737
416	3382	77724
417	3389	77697
418	3398	77705
419	3409	77750
420	3417	77759
421	3425	77743
422	3435	77781
423	3447	77860
424	3455	77841
425	3462	77817
426	3474	77893
427	3482	77875
428	3490	77855
429	3499	77871
430	3507	77855
431	3516	77866
432	3524	77860
433	3539	78001
434	3548	78008
435	3555	77994
436	3563	77978
437	3572	77986
438	3581	77999
439	3589	77992
440	3598	77985
441	3606	77979
442	3614	77964
443	3621	77943
444	3629	77933
445	3636	77887
446	3645	77903
447	3653	77899
448	3665	77953
449	3673	77947
450	3680	77909
451	3687	77885
452	3694	77862
453	3703	77870
454	3711	77854
455	3721	77875
456	3729	77872
457	3737	77865
458	3746	77872
459	3755	77876
460	3763	77868
461	3772	77876
462	3781	77875
463	3794	77966
464	3802	77954
465	3809	77928
466	3817	77921
467	3825	77899
468	3832	77876
469	3840	77868
470	3848	77859
471	3856	77848
472	3863	77814
473	3871	77798
474	3879	77791
475	3887	77772
476	3895	77765
477	3903	77744
478	3910	77721
479	3917	77690
480	3928	77734
481	3939	77791
482	3950	77824
483	3961	77871
484	3971	77898
485	3980	77922
486	3990	77939
487	3997	77919
488	4008	77965
489	4016	77949
490	4025	77949
491	4033	77947
492	4044	77991
493	4052	77976
494	4060	77967
495	4069	77964
496	4076	77941
497	4084	77931
498	4093	77927
499	4101	77912
500	4111	77953
501	4120	77944
502	4130	77986
503	4137	77955
504	4147	77971
505	4156	77977
506	4165	77987
507	4175	78002
508	4182	77973
509	4189	77957
510	4197	77933
511	4204	77913
512	4212	77903
513	4220	77888
514	4228	77873
515	4237	77882
516	4250	77947
517	4257	77931
518	4267	77956
519	4276	77954
520	4287	77994
521	4297	78015
522	4305	78007
523	4314	78006
524	4321	77992
525	4329	77969
526	4338	77985
527	4347	77987
528	4355	77963
529	4362	77944
530	4370	77936
531	4381	77961
532	4390	77967
533	4398	77954
534	4404	77919
535	4411	77888
536	4421	77911
537	4431	77925
538	4444	78000
539	4454	78019
540	4463	78028
541	4470	78003
542	4480	78020
543	4488	78018
544	4501	78082
545	4511	78107
546	4518	78077
547	4527	78079
548	4534	78060
549	4545	78098
550	4554	78088
551	4563	78097
552	4573	78121
553	4583	78135
554	4592	78141
555	4600	78142
556	4613	78198
557	4624	78249
558	4641	78374
559	4657	78501
560	4666	78500
561	4676	78533
562	4691	78630
563	4700	78634
564	4713	78708
565	4722	78701
566	4734	78759
567	4744	78783
568	4755	78817
569	4765	78826
570	4774	78831
571	4784	78849
572	4792	78834
573	4802	78857
574	4811	78850
575	4820	78862
576	4832	78915
577	4840	78903
578	4848	78887
579	4858	78904
580	4866	78888
581	4876	78899
582	4885	78913
583	4894	78904
584	4904	78926
585	4915	78953
586	4922	78934
587	4932	78946
588	4940	78930
589	4948	78913
590	4955	78893
591	4965	78899
592	4973	78895
593	4982	78893
594	4991	78885
595	5000	78887
596	5008	78876
597	5022	78956
598	5032	78975
599	5041	78977
600	5049	78961
601	5058	78961
602	5069	78999
603	5078	78994
604	5086	78983
605	5094	78966
606	5102	78957
607	5111	78944
608	5118	78919
609	5126	78907
610	5133	78883
611	5141	78862
612	5149	78845
613	5160	78879
614	5169	78873
615	5176	78843
616	5183	78820
617	5191	78801
618	5199	78794
619	5207	78777
620	5215	78762
621	5227	78804
622	5235	78786
623	5242	78768
624	5251	78763
625	5258	78741
626	5265	78711
627	5276	78728
628	5285	78739
629	5292	78711
630	5300	78691
631	5308	78677
632	5316	78667
633	5323	78635
634	5331	78621
635	5339	78605
636	5351	78653
637	5361	78673
638	5370	78671
639	5378	78647
640	5386	78637
641	5394	78628
642	5402	78607
643	5409	78585
644	5418	78580
645	5427	78575
646	5436	78586
647	5444	78562
648	5452	78556
649	5460	78544
650	5468	78518
651	5475	78500
652	5483	78476
653	5490	78459
654	5498	78445
655	5507	78436
656	5515	78432
657	5523	78415
658	5533	78431
659	5544	78448
660	5551	78425
661	5560	78420
662	5568	78410
663	5576	78402
664	5585	78393
665	5594	78397
666	5602	78383
667	5609	78361
668	5617	78347
669	5625	78335
670	5633	78320
671	5641	78306
672	5650	78298
673	5658	78290
674	5667	78280
675	5675	78267
676	5686	78297
677	5694	78286
678	5702	78274
679	5711	78265
680	5718	78247
681	5727	78240
682	5734	78216
683	5745	78240
684	5753	78226
685	5761	78219
686	5769	78202
687	5778	78202
688	5786	78195
689	5795	78186
690	5804	78184
691	5812	78173
692	5823	78202
693	5832	78195
694	5841	78204
695	5849	78182
696	5857	78172
697	5865	78161
698	5873	78148
699	5884	78169
700	5892	78163
701	5900	78141
702	5910	78162
703	5921	78182
704	5931	78199
705	5940	78195
706	5950	78201
707	5959	78207
708	5967	78192
709	5977	78202
710	5985	78192
711	5995	78204
712	6004	78196
713	6017	78250
714	6025	78234
715	6032	78216
716	6041	78207
717	6049	78195
718	6057	78176
719	6065	78166
720	6073	78160
721	6081	78141
722	6089	78132
723	6099	78143
724	6108	78137
725	6115	78112
726	6123	78095
727	6131	78085
728	6140	78079
729	6150	78098
730	6159	78087
731	6167	78083
732	6176	78076
733	6182	78044
734	6194	78076
735	6203	78080
736	6212	78070
737	6219	78047
738	6228	78041
739	6236	78029
740	6244	78017
741	6254	78023
742	6264	78035
743	6271	78008
744	6277	77976
745	6286	77975
746	6292	77938
747	6301	77931
748	6309	77916
749	6317	77909
750	6325	77888
751	6333	77879
752	6341	77862
753	6350	77860
754	6359	77859
755	6367	77848
756	6374	77823
757	6382	77809
758	6389	77789
759	6398	77784
760	6406	77776
761	6415	77767
762	6426	77796
763	6434	77782
764	6444	77783
765	6452	77770
766	6459	77748
767	6468	77747
768	6477	77745
769	6485	77730
770	6492	77709
771	6501	77708
772	6512	77723
773	6520	77710
774	6530	77720
775	6537	77704
776	6546	77698
777	6554	77684
778	6562	77670
779	6571	77668
780	6580	77672
781	6588	77657
782	6598	77667
783	6607	77657
784	6616	77660
785	6624	77649
786	6633	77649
787	6642	77643
788	6651	77637
789	6659	77627
790	6670	77646
791	6680	77659
792	6689	77659
793	6697	77646
794	6706	77638
795	6714	77629
796	6721	77601
797	6730	77608
798	6738	77589
799	6746	77571
800	6758	77606
801	6765	77578
802	6771	77543
803	6779	77536
804	6787	77526
805	6796	77515
806	6804	77508
807	6814	77513
808	6822	77502
809	6830	77491
810	6839	77490
811	6846	77463
812	6854	77446
813	6861	77425
814	6874	77462
815	6881	77443
816	6894	77483
817	6904	77489
818	6911	77474
819	6919	77451
820	6932	77494
821	6941	77497
822	6947	77465
823	6955	77452
824	6967	77476
825	6976	77473
826	6983	77453
827	6992	77444
828	7000	77433
829	7007	77411
830	7015	77403
831	7024	77391
832	7031	77371
833	7040	77371
834	7048	77352
835	7058	77369
836	7066	77350
837	7074	77338
838	7082	77321
839	7089	77306
840	7097	77292
841	7105	77271
842	7113	77264
843	7122	77254
844	7131	77251
845	7139	77238
846	7146	77222
847	7154	77210
848	7163	77204
849	7172	77203
850	7179	77176
851	7186	77155
852	7197	77169
853	7204	77146
854	7211	77129
855	7218	77103
856	7226	77092
857	7237	77110
858	7252	77166
859	7263	77192
860	7274	77203
861	7284	77209
862	7292	77200
863	7303	77220
864	7312	77218
865	7323	77233
866	7331	77226
867	7341	77233
