iter	MAE
0	1082.28017
1	1073.342867
2	1065.053806
3	1057.060736
4	1048.28882
5	1040.099661
6	1032.200891
7	1024.494728
8	1016.77628
9	1009.00941
10	1001.660933
11	994.3416707
12	987.1737413
13	979.3999825
14	972.3274674
15	965.1580517
16	958.3239992
17	951.5126771
18	944.02136
19	936.706527
20	930.6172549
21	923.9992732
22	917.2348414
23	910.2397533
24	903.5065961
25	896.6999702
26	890.0310557
27	883.3721603
28	877.0650411
29	870.5513995
30	864.3595506
31	858.1278664
32	851.8768638
33	845.6480932
34	839.8015437
35	833.6947153
36	828.3546409
37	822.6395525
38	816.7473252
39	811.3563701
40	805.7744979
41	800.1174748
42	794.5610842
43	789.1149353
44	783.7796549
45	778.4024951
46	773.145706
47	767.9409312
48	762.7486637
49	758.1105167
50	753.1430302
51	748.2175316
52	743.32141
53	738.6195073
54	733.8450796
55	729.1872901
56	724.5174128
57	719.8940862
58	715.394961
59	710.8773807
60	706.4025007
61	702.1260423
62	697.8422417
63	693.6082473
64	689.4230203
65	685.2396643
66	681.150128
67	677.066811
68	672.9158884
69	668.887839
70	664.9208113
71	661.0282965
72	657.1587117
73	653.4032251
74	649.6452232
75	645.9004183
76	642.2371143
77	638.6258326
78	634.9439933
79	631.4332069
80	627.9275377
81	624.4851258
82	621.1249189
83	617.7416635
84	614.2793993
85	611.0203662
86	607.8003553
87	604.5228027
88	601.3594799
89	598.1762942
90	595.0144873
91	591.9217276
92	588.8179845
93	585.826366
94	582.796935
95	579.8150774
96	576.9751919
97	574.1821407
98	571.423755
99	568.6921377
100	565.9965833
101	563.3083728
102	560.6956955
103	557.9949983
104	555.3859766
105	552.8094993
106	550.2248295
107	547.7365019
108	545.2063173
109	542.7522229
110	540.3258056
111	538.0229135
112	535.7286417
113	533.3906497
114	531.1368836
115	528.8836051
116	526.661933
117	524.4187731
118	522.2130874
119	520.2034859
120	518.0524906
121	516.0864057
122	513.9624397
123	511.9011775
124	509.9139239
125	507.8824534
126	505.8495517
127	503.903769
128	501.998143
129	500.1413181
130	498.1884256
131	496.3530912
132	494.4857163
133	492.6235661
134	490.8469019
135	489.0884342
136	487.213276
137	485.4549902
138	483.6802119
139	481.9171908
140	480.2655191
141	478.6091746
142	476.8459201
143	475.1023754
144	473.489274
145	471.8937386
146	470.2947751
147	468.6468639
148	467.1068074
149	465.5669071
150	464.1888465
151	462.7547185
152	461.347166
153	459.8040466
154	458.2564916
155	456.6941615
156	455.4039629
157	454.0481454
158	452.7345975
159	451.308337
160	449.9571873
161	448.62488
162	447.3335626
163	446.0560342
164	444.71069
165	443.480927
166	442.2522158
167	440.987729
168	439.7287178
169	438.5544187
170	437.3381378
171	436.0518396
172	434.8545186
173	433.6784802
174	432.4788433
175	431.2838355
176	430.0798935
177	428.9208367
178	427.8021918
179	426.7544024
180	425.6192903
181	424.5259134
182	423.4385704
183	422.3565157
184	421.296069
185	420.2753963
186	419.2515724
187	418.2346416
188	417.2582105
189	416.2903379
190	415.2674045
191	414.3523821
192	413.4443455
193	412.5485151
194	411.5847742
195	410.7090107
196	409.7635753
197	408.9147105
198	408.056829
199	407.2023473
200	406.3446619
201	405.4842757
202	404.6396652
203	403.8064235
204	402.987578
205	402.2188244
206	401.4290364
207	400.6138103
208	399.8043405
209	399.0805176
210	398.3116974
211	397.5566774
212	396.7850342
213	396.0483237
214	395.2921358
215	394.5835296
216	393.8788595
217	393.1654352
218	392.4730463
219	391.7001354
220	391.0603554
221	390.3046427
222	389.6292684
223	388.9495798
224	388.283506
225	387.5279204
226	386.922475
227	386.2063759
228	385.5414432
229	385.0087486
230	384.4261812
231	383.7623402
232	383.0628887
233	382.4878426
234	381.8158031
235	381.247725
236	380.7002968
237	380.1573487
238	379.5725126
239	378.9350194
240	378.2981509
241	377.7874412
242	377.182946
243	376.6205429
244	376.0056422
245	375.5073525
246	374.9767445
247	374.4398009
248	374.0011899
249	373.451831
250	373.0261031
251	372.5848434
252	372.0850327
253	371.6033294
254	371.0449728
255	370.6056564
256	370.0640226
257	369.5551735
258	369.1460389
259	368.7176508
260	368.3555398
261	367.8843312
262	367.3962644
263	366.9143617
264	366.4769501
265	366.0352161
266	365.6704513
267	365.290559
268	364.8510977
269	364.4029879
270	364.0452123
271	363.7269325
272	363.2731231
273	362.9150032
274	362.5581839
275	362.1618469
276	361.7728409
277	361.3569217
278	360.9913744
279	360.5866933
280	360.1849078
281	359.8789139
282	359.5380562
283	359.242259
284	358.8353589
285	358.4786745
286	358.1788375
287	357.7857668
288	357.4581233
289	357.1491799
290	356.8347011
291	356.4903334
292	356.2224781
293	355.8566635
294	355.5295009
295	355.1867231
296	354.8388006
297	354.5031933
298	354.1758999
299	353.847472
300	353.5242891
301	353.2258414
302	352.9276885
303	352.6190619
304	352.3022031
305	352.006817
306	351.7124713
307	351.4409559
308	351.1288016
309	350.8426627
310	350.5806002
311	350.2925501
312	350.0347466
313	349.7458506
314	349.4960075
315	349.2423672
316	348.9995736
317	348.7292667
318	348.4874966
319	348.2397635
320	347.9839205
321	347.7249678
322	347.4812126
323	347.2480762
324	347.0161016
325	346.7654775
326	346.5503598
327	346.3218205
328	346.0716302
329	345.8390028
330	345.6187619
331	345.3982964
332	345.1901017
333	344.9702771
334	344.7705809
335	344.5630393
336	344.340749
337	344.1135294
338	343.888121
339	343.6715161
340	343.4550079
341	343.2721352
342	343.0720389
343	342.8554269
344	342.6778938
345	342.5005385
346	342.3132587
347	342.1133118
348	341.9519169
349	341.7630579
350	341.5732941
351	341.4029646
352	341.2136846
353	341.032905
354	340.8542307
355	340.6893735
356	340.5180667
357	340.3468137
358	340.1904045
359	340.027212
360	339.8701456
361	339.7184706
362	339.5665894
363	339.3999796
364	339.247754
365	339.1050142
366	338.9438447
367	338.789843
368	338.6394424
369	338.4717117
370	338.3161914
371	338.1756494
372	338.0357888
373	337.8832905
374	337.7356782
375	337.5856842
376	337.4511153
377	337.2950176
378	337.1558121
379	337.0083315
380	336.8651423
381	336.7376756
382	336.5984072
383	336.4567206
384	336.3287925
385	336.1848918
386	336.0560482
387	335.9160398
388	335.8117937
389	335.6879752
390	335.5675419
391	335.4291762
392	335.3081985
393	335.1775997
394	335.0635834
395	334.9476283
396	334.8375362
397	334.7251014
398	334.618535
399	334.4996317
400	334.3963053
401	334.2600379
402	334.1527614
403	334.0517212
404	333.9533212
405	333.8775153
406	333.7740685
407	333.6612416
408	333.5434121
409	333.4375198
410	333.3157807
411	333.2239415
412	333.127991
413	333.0362782
414	332.9298989
415	332.8082781
416	332.7000935
417	332.6018235
418	332.4815782
419	332.3600021
420	332.2428957
421	332.1291709
422	332.0279541
423	331.9140861
424	331.8064961
425	331.6916287
426	331.5775017
427	331.4693832
428	331.3604465
429	331.2582151
430	331.1573429
431	331.0657013
432	330.9659107
433	330.8687045
434	330.7663144
435	330.673364
436	330.5753713
437	330.4943262
438	330.3890191
439	330.2848373
440	330.1810765
441	330.0853327
442	329.987929
443	329.8922378
444	329.7965413
445	329.7182399
446	329.6418644
447	329.5555946
448	329.4634573
449	329.3577985
450	329.2540672
451	329.1485224
452	329.0620582
453	328.967272
454	328.8782307
455	328.7925326
456	328.7041488
457	328.6297895
458	328.5365011
459	328.446895
460	328.3609891
461	328.2620939
462	328.1613287
463	328.093264
464	327.9946598
465	327.915624
466	327.8356335
467	327.7356422
468	327.6513052
469	327.5520045
470	327.4598838
471	327.3740065
472	327.2931647
473	327.2068999
474	327.1247798
475	327.0492324
476	326.9653596
477	326.8791769
478	326.7945944
479	326.7109089
480	326.6307363
481	326.5559541
482	326.4766782
483	326.4050842
484	326.3170272
485	326.25002
486	326.1715286
487	326.0944417
488	326.0135432
489	325.937428
490	325.857757
491	325.7821948
492	325.6965625
493	325.6254956
494	325.555705
495	325.4787058
496	325.4067248
497	325.3386125
498	325.2520828
499	325.1870244
500	325.1162288
501	325.0414
502	324.9792103
503	324.9109378
504	324.8367728
505	324.7744481
506	324.7027983
507	324.6332232
508	324.5774651
509	324.5105287
510	324.4537293
511	324.3926647
512	324.3175883
513	324.257036
514	324.1874773
515	324.1247356
516	324.0584999
517	323.9928686
518	323.9289112
519	323.8713917
520	323.8152081
521	323.7520923
522	323.7005871
523	323.6358513
524	323.5770681
525	323.5219548
526	323.4758927
527	323.4096902
528	323.3669564
529	323.3204322
530	323.2623423
531	323.2122425
532	323.1681912
533	323.1178805
534	323.0648614
535	323.0196887
536	322.971113
537	322.9309491
538	322.8840709
539	322.8302608
540	322.7744747
541	322.7293328
542	322.6817371
543	322.6396921
544	322.5897516
545	322.53217
546	322.4922641
547	322.4467374
548	322.4092841
549	322.3581656
550	322.3127238
551	322.2638976
552	322.2279681
553	322.1872217
554	322.1467331
555	322.1065075
556	322.063149
557	322.0221346
558	321.9833943
559	321.9311566
560	321.896724
561	321.8665926
562	321.8356329
563	321.7968017
564	321.7564143
565	321.7186676
566	321.6779066
567	321.6404397
568	321.6069192
569	321.5634016
570	321.5198537
571	321.4905574
572	321.4464338
